S2,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,AC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E3,S4,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
E4,E4,E4,S12,E4,E4,E4,E4,S10,S11,E4,E4,E4,S14,E4,E4,S9,E4,E4,E4,E2,-,-,-,-,-,-,5,6,7,8,13,-,-,-,-,-
E5,E5,S17,S18,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E2,-,-,-,15,16,-,-,-,-,-,-,-,-,-,-,-
R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E4,E4,E4,S12,E4,E4,E4,E4,S10,S11,E4,E4,E4,S14,E4,E4,S9,E4,E4,E4,E2,-,-,-,-,-,-,19,6,7,8,13,-,-,-,-,-
E4,E4,E4,S12,E4,E4,E4,E4,S10,S11,E4,E4,E4,S14,E4,E4,S9,E4,E4,E4,E2,-,-,-,-,-,-,20,6,7,8,13,-,-,-,-,-
E4,E4,E4,S12,E4,E4,E4,E4,S10,S11,E4,E4,E4,S14,E4,E4,S9,E4,E4,E4,E2,-,-,-,-,-,-,21,6,7,8,13,-,-,-,-,-
R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E6,E6,E6,S22,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E7,E7,E7,S26,S25,E7,E7,S24,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E2,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-
E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,S27,E8,E8,E8,E8,E8,E8,E8,E8,E8,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E9,E9,E9,S12,E9,E9,E9,E9,S10,S11,E9,E9,E9,S14,E9,S32,E9,E9,E9,E9,E2,-,-,-,-,-,-,-,29,30,31,13,-,-,-,-,28
E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,S33,E10,E10,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E5,E5,S17,S18,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E2,-,-,-,34,16,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S35,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E12,E12,E12,E12,E12,S37,S38,S39,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E2,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-
R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S40,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S41,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,42,43,-,-
R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E9,E9,E9,S12,E9,E9,E9,E9,S10,S11,E9,E9,E9,S14,E9,S32,E9,E9,E9,E9,E2,-,-,-,-,-,-,-,29,30,31,13,-,-,-,-,46
E9,E9,E9,S12,E9,E9,E9,E9,S10,S11,E9,E9,E9,S14,E9,S32,E9,E9,E9,E9,E2,-,-,-,-,-,-,-,29,30,31,13,-,-,-,-,47
E9,E9,E9,S12,E9,E9,E9,E9,S10,S11,E9,E9,E9,S14,E9,S32,E9,E9,E9,E9,E2,-,-,-,-,-,-,-,29,30,31,13,-,-,-,-,48
R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,50,49,-
R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S51,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S52,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,S53,E14,E14,E14,E14,E14,E14,E14,R19,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,S54,E4,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,S55,E15,E15,E15,E15,E15,E15,E15,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-
E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,S57,E16,E16,E16,E16,E16,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-
R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-